id,unit,chapter,statement,equation,categories,note,level
001,第I部,酸化物と水,酸化ナトリウムに水を加える。,Na_2O + H_2O -> 2NaOH,ア,塩基性酸化物と水の反応。,1
002,第I部,酸化物と水,酸化カリウムに水を加える。,K_2O + H_2O -> 2KOH,ア,塩基性酸化物と水の反応。,1
003,第I部,酸化物と水,酸化カルシウムに水を加える。,CaO + H_2O -> Ca(OH)_2,ア,生石灰から消石灰を生じる。,1
004,第I部,酸化物と水,酸化バリウムに水を加える。,BaO + H_2O -> Ba(OH)_2,ア,塩基性酸化物と水の反応。,1
005,第I部,酸化物と水,酸化マグネシウムに水を作用させる。,MgO + H_2O -> Mg(OH)_2,ア,酸化マグネシウムと水の反応。,1
006,第I部,酸化物と水,二酸化炭素を水に溶かす。,CO_2 + H_2O -> H_2CO_3,ア,酸性酸化物から炭酸を生じる。,1
007,第I部,酸化物と水,二酸化硫黄を水に溶かす。,SO_2 + H_2O -> H_2SO_3,ア,酸性酸化物から亜硫酸を生じる。,1
008,第I部,酸化物と水,三酸化硫黄を水に溶かす。,SO_3 + H_2O -> H_2SO_4,ア,酸性酸化物から硫酸を生じる。,1
009,第I部,酸化物と水,五酸化二窒素を水に溶かす。,N_2O_5 + H_2O -> 2HNO_3,ア,酸性酸化物から硝酸を生じる。,2
010,第I部,酸化物と水,十酸化四リンを十分な水と反応させる。,P_4O_10 + 6H_2O -> 4H_3PO_4,ア,リン酸を生じる。,2
011,第I部,酸化物と水,七酸化二塩素を水に溶かす。,Cl_2O_7 + H_2O -> 2HClO_4,ア,過塩素酸を生じる。,3
012,第I部,酸化物と水・酸化還元,二酸化窒素を水に吸収させる。,3NO_2 + H_2O -> 2HNO_3 + NO,ア;エ,酸化物と水の反応であり、不均化反応でもある。,3
013,第I部,中和反応,塩酸と水酸化ナトリウム水溶液を過不足なく混合する。,HCl + NaOH -> NaCl + H_2O,イ,強酸と強塩基の中和。,1
014,第I部,中和反応,硫酸と水酸化カリウム水溶液を完全に中和する。,H_2SO_4 + 2KOH -> K_2SO_4 + 2H_2O,イ,二価酸の完全中和。,1
015,第I部,中和反応,硝酸と水酸化カルシウムを過不足なく反応させる。,2HNO_3 + Ca(OH)_2 -> Ca(NO_3)_2 + 2H_2O,イ,二価塩基の中和。,1
016,第I部,中和反応,リン酸1 molに水酸化ナトリウム1 molを反応させる。,H_3PO_4 + NaOH -> NaH_2PO_4 + H_2O,イ,リン酸の第一段階の中和。,2
