id,unit,chapter,statement,equation,affiliations,note,level
001,第1章,アルカリ金属元素,ナトリウムを水に入れる。,2Na + 2H_2O -> 2NaOH + H_2↑,ア,ナトリウムはアルカリ金属元素。水と激しく反応する。,1
002,第1章,アルカリ金属元素,酸化ナトリウムを水に加える。,Na_2O + H_2O -> 2NaOH,ア,アルカリ金属の酸化物は水と反応して強塩基を生じる。,1
003,第1章,アルカリ金属元素,炭酸水素ナトリウムを加熱する。,2NaHCO_3 -> Na_2CO_3 + CO_2↑ + H_2O,ア,炭酸水素ナトリウムの熱分解。,1
004,第2章,2族元素,炭酸カルシウムを強熱する。,CaCO_3 -> CaO + CO_2↑,イ,カルシウムは2族元素。炭酸塩の熱分解。,1
005,第2章,2族元素,酸化カルシウムに水を加える。,CaO + H_2O -> Ca(OH)_2,イ,生石灰から消石灰を生じる。,1
006,第2章,2族元素,石灰水に二酸化炭素を少量通じる。,Ca(OH)_2 + CO_2 -> CaCO_3↓ + H_2O,イ,炭酸カルシウムの白色沈殿を生じる。,1
007,第3章,両性元素,水酸化アルミニウムに塩酸を加える。,Al(OH)_3 + 3HCl -> AlCl_3 + 3H_2O,ウ,水酸化アルミニウムは酸に溶ける。,1
008,第3章,両性元素,水酸化アルミニウムに過剰の水酸化ナトリウム水溶液を加える。,Al(OH)_3 + OH^- -> [Al(OH)_4]^-,ウ,両性水酸化物は過剰の塩基に溶ける。,2
009,第3章,両性元素,水酸化亜鉛に過剰のアンモニア水を加える。,Zn(OH)_2 + 4NH_3 -> [Zn(NH_3)_4]^2+ + 2OH^-,ウ,亜鉛のアンミン錯イオンを生じる。,2
010,第4章,遷移元素,鉄(III)イオンに水酸化物イオンを加える。,Fe^3+ + 3OH^- -> Fe(OH)_3↓,エ,赤褐色沈殿を生じる。,1
011,第4章,遷移元素,銅(II)イオンに水酸化物イオンを加える。,Cu^2+ + 2OH^- -> Cu(OH)_2↓,エ,青白色沈殿を生じる。,1
012,第4章,遷移元素,銅に濃硝酸を加える。,Cu + 4HNO_3 -> Cu(NO_3)_2 + 2NO_2↑ + 2H_2O,エ,銅は濃硝酸に溶けて二酸化窒素を生じる。,2
013,第5章,14族元素,二酸化炭素を水酸化ナトリウム水溶液に吸収させる。,2NaOH + CO_2 -> Na_2CO_3 + H_2O,オ,炭素は14族元素。酸性酸化物と塩基の反応。,1
014,第5章,14族元素,二酸化ケイ素を水酸化ナトリウムと加熱する。,SiO_2 + 2NaOH -> Na_2SiO_3 + H_2O,オ,ケイ素は14族元素。二酸化ケイ素は酸性酸化物。,2
015,第6章,15族元素,アンモニアと塩化水素が反応する。,NH_3 + HCl -> NH_4Cl,カ,窒素は15族元素。白煙を生じる。,1
016,第6章,15族元素,銅に希硝酸を加える。,3Cu + 8HNO_3 -> 3Cu(NO_3)_2 + 2NO↑ + 4H_2O,カ,硝酸は窒素のオキソ酸。希硝酸では一酸化窒素を生じる。,2
017,第7章,16族元素,二酸化硫黄を水に溶かす。,SO_2 + H_2O -> H_2SO_3,キ,硫黄は16族元素。亜硫酸を生じる。,1
018,第7章,16族元素,硫化水素と二酸化硫黄を反応させる。,2H_2S + SO_2 -> 3S↓ + 2H_2O,キ,硫黄の析出を伴う酸化還元反応。,2
019,第8章,17族元素,塩素を水酸化ナトリウム水溶液に吸収させる。,Cl_2 + 2NaOH -> NaCl + NaClO + H_2O,ク,塩素は17族元素。冷希水酸化ナトリウムとの反応。,2
020,第8章,17族元素,塩素をヨウ化カリウム水溶液に通じる。,Cl_2 + 2KI -> 2KCl + I_2,ク,ハロゲン単体の酸化力の違いを利用した反応。,2
